_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry,Latitude,Longitude,area,score
1508,1132,13012,BLOORDALE COMMUNITY SCHOOL,Community Centre,,10 TOLEDO RD,416-394-8699,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1132,"{""coordinates"": [[-79.572341175264, 43.6391974818382]], ""type"": ""MultiPoint""}",43.6391974818382,-79.572341175264,other,0.2
1509,1320,13067,SMITHFIELD COMMUNITY SCHOOL,Community Centre,,175 MOUNT OLIVE DR,416-394-8715,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1320,"{""coordinates"": [[-79.5956482142897, 43.7497510817525]], ""type"": ""MultiPoint""}",43.7497510817525,-79.5956482142897,other,0.2
1510,537,1675,CENTENNIAL RECREATION CENTRE - SCARBOROUGH,Community Centre,"Washroom, Wi-Fi",1967 ELLESMERE RD,416-396-4057,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=537,"{""coordinates"": [[-79.2370287071057, 43.7745337693776]], ""type"": ""MultiPoint""}",43.7745337693776,-79.2370287071057,other,0.30744909332125403
1511,3502,45463,REGENT PARK COMMUNITY CENTRE,Community Centre,Wi-Fi,402 Shuter St,416-392-5490,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3502,"{""coordinates"": [[-79.3616922501387, 43.6582745197575]], ""type"": ""MultiPoint""}",43.6582745197575,-79.3616922501387,other,0.2530709475736542
1512,760,13020,DOMENICO DILUCA COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",25 STANLEY RD,416-395-6673,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=760,"{""coordinates"": [[-79.5158013138004, 43.7424676247375]], ""type"": ""MultiPoint""}",43.7424676247375,-79.5158013138004,other,0.26892993661374065
1513,325,13063,SECORD COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",91 BARRINGTON AVE,416-396-2857,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=325,"{""coordinates"": [[-79.3016571366565, 43.6921153328647]], ""type"": ""MultiPoint""}",43.6921153328647,-79.3016571366565,other,0.4
1514,647,14342,GRANDRAVINE COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",23 GRANDRAVINE DR,416-395-6171,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=647,"{""coordinates"": [[-79.4906515064637, 43.7519152647376]], ""type"": ""MultiPoint""}",43.7519152647376,-79.4906515064637,other,0.2664240633263621
1515,643,2076,GOULDING COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",45 GOULDING AVE,416-395-0123,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=643,"{""coordinates"": [[-79.4221107163165, 43.7906271275808]], ""type"": ""MultiPoint""}",43.7906271275808,-79.4221107163165,other,0.23753602156632858
1516,693,14343,MITCHELL FIELD COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",89 CHURCH AVE,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=693,"{""coordinates"": [[-79.408663320675, 43.7745089449153]], ""type"": ""MultiPoint""}",43.7745089449153,-79.408663320675,other,0.5257085270337347
1517,189,1886,NORTH TORONTO MEMORIAL COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",200 EGLINTON AVE W,416-392-6591,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=189,"{""coordinates"": [[-79.4045943875911, 43.7060603005605]], ""type"": ""MultiPoint""}",43.7060603005605,-79.4045943875911,other,0.2925675096715832
1518,1093,2092,O'CONNOR COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",1386 VICTORIA PARK AVE,416-395-7957,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1093,"{""coordinates"": [[-79.3017998965443, 43.7176595089147]], ""type"": ""MultiPoint""}",43.7176595089147,-79.3017998965443,other,0.24024417106470258
1519,1098,1947,SCADDING COURT COMMUNITY CENTRE,Community Centre,Wi-Fi,707 DUNDAS ST W,416-392-0335,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1098,"{""coordinates"": [[-79.4049504110461, 43.6518252765297]], ""type"": ""MultiPoint""}",43.6518252765297,-79.4049504110461,other,0.2352135293486687
1520,703,771,NORTHWOOD COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",15 CLUBHOUSE CRT,416-395-7876,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=703,"{""coordinates"": [[-79.5000806926768, 43.7455298675525]], ""type"": ""MultiPoint""}",43.7455298675525,-79.5000806926768,other,0.37067129298421964
1521,3501,45062,YORK RECREATION CENTRE,Community Centre,Wi-Fi,115 BLACK CREEK DR,416-392-9675,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3501,"{""coordinates"": [[-79.4820344136735, 43.687872905789]], ""type"": ""MultiPoint""}",43.687872905789,-79.4820344136735,other,0.30000000000000004
1522,1076,2082,JENNER JEAN-MARIE COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",48 THORNCLIFFE PARK DR,416-396-2874,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1076,"{""coordinates"": [[-79.3427973417292, 43.7030722375646]], ""type"": ""MultiPoint""}",43.7030722375646,-79.3427973417292,other,0.3192098265323893
1523,1078,13041,KEN COX COMMUNITY CENTRE,Community Centre,Wi-Fi,28 COLONEL SAMUEL SMITH PARK DR,416-392-6355,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1078,"{""coordinates"": [[-79.5165351412394, 43.5950990783531]], ""type"": ""MultiPoint""}",43.5950990783531,-79.5165351412394,other,0.29746708723503396
1524,48,13030,HILLCREST COMMUNITY CENTRE,Community Centre,Wi-Fi,1339 BATHURST ST,416-392-0746,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=48,"{""coordinates"": [[-79.4159949499324, 43.6791928056708]], ""type"": ""MultiPoint""}",43.6791928056708,-79.4159949499324,other,0.30000000000000004
1525,824,2056,CENTRAL ARENA,Community Centre,"Washroom, Wi-Fi",50 MONTGOMERY RD,416-394-5439,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=824,"{""coordinates"": [[-79.5202681652435, 43.6485495669752]], ""type"": ""MultiPoint""}",43.6485495669752,-79.5202681652435,other,0.26726315805921186
